type	latitude	longitude	altitude (m)	name	desc	kml_folder
T	39.011786295	126.245437920	137.7			
T	39.011791172	126.245371060	135.8			
T	39.011796070	126.245303918	133.8			
T	39.011800540	126.245243874	132.1			
T	39.011804879	126.245177045	130.3			
T	39.011809233	126.245109967	128.5			
T	39.011554555	126.250787769	201.1			
T	39.011555791	126.250733716	200.4			
T	39.011556479	126.250685188	199.8			
T	39.011557255	126.250630554	199.1			
T	39.011558030	126.250575879	198.4			
T	39.011558471	126.250520843	197.8			
T	39.011558730	126.250465613	197.3			
T	39.011558987	126.250410369	196.9			
T	39.011559218	126.250361251	196.4			
T	39.011559476	126.250305980	195.9			
T	39.011559736	126.250250695	196.1			
T	39.011559995	126.250195398	197.0			
T	39.011560254	126.250140086	197.9			
T	39.011560484	126.250090909	198.6			
T	39.011558576	126.250033986	199.6			
T	39.011555894	126.249976619	200.7			
T	39.011553215	126.249919397	202.1			
T	39.011550546	126.249862324	203.4			
T	39.011550006	126.249806724	204.7			
T	39.011549527	126.249757325	205.8			
T	39.011548987	126.249701779	206.5			
T	39.011548448	126.249646261	206.2			
T	39.011547911	126.249590774	205.9			
T	39.011547371	126.249535315	205.6			
T	39.011546832	126.249479885	205.3			
T	39.011546354	126.249430637	204.9			
T	39.011545672	126.249375201	204.3			
T	39.011544592	126.249319645	203.7			
T	39.011543525	126.249264151	203.0			
T	39.011542448	126.249208710	202.4			
T	39.011541380	126.249159436	202.0			
T	39.011539517	126.249103879	202.7			
T	39.011537658	126.249048422	203.4			
T	39.011535802	126.248993064	204.0			
T	39.011533950	126.248937804	204.7			
T	39.011532102	126.248882645	205.4			
T	39.011530461	126.248833697	206.5			
T	39.011528621	126.248778723	207.6			
T	39.011526782	126.248723849	208.8			
T	39.011527210	126.248669255	209.9			
T	39.011529038	126.248614707	210.9			
T	39.011530669	126.248566141	211.7			
T	39.011532504	126.248511410	212.5			
T	39.011533745	126.248456597	213.4			
T	39.011533491	126.248401793	214.3			
T	39.011533237	126.248347004	215.2			
T	39.011532984	126.248292227	215.3			
T	39.011532759	126.248243548	215.1			
T	39.011532507	126.248188796	214.9			
